longitude,latitude,details
-72.91830, 41.37066, "Burger King; USA"
-73.21434, 41.21755, "Burger King; USA"
-73.14086, 41.19535, "Burger King; USA"
-72.97390, 41.33173, "Burger King; USA"
-73.54772, 41.10772, "Burger King; USA"
-72.87200, 41.32027, "Burger King; USA"
-72.83550, 41.27601, "Burger King; USA"
-73.18622, 41.20173, "Burger King; USA"
-73.05681, 41.31223, "Burger King; USA"
-73.08382, 41.33333, "Burger King; USA"
-72.93502, 41.33881, "Burger King; USA"
-72.93802, 41.31510, "Burger King; USA"
-72.99338, 41.27328, "Burger King; USA"
-73.38660, 41.12711, "Burger King; USA"
-73.44419, 41.09804, "Burger King; USA"
-73.03658, 41.23825, "Burger King; USA"
-73.13428, 41.26373, "Burger King; USA"
-72.95266, 41.27517, "Burger King; USA"
-87.59446, 33.23972, "Burger King; USA"
-87.52470, 33.17447, "Burger King; USA"
-87.47070, 33.17592, "Burger King; USA"
-86.62343, 33.64067, "Burger King; USA"
-87.56843, 33.20554, "Burger King; USA"
-87.54049, 33.23363, "Burger King; USA"
-86.87776, 33.49612, "Burger King; USA"
-86.84922, 33.50532, "Burger King; USA"
-86.80668, 33.40894, "Burger King; USA"
-86.73067, 33.55950, "Burger King; USA"
-86.77412, 33.58346, "Burger King; USA"
-86.70892, 33.64577, "Burger King; USA"
-86.80721, 33.50387, "Burger King; USA"
-86.82180, 33.46541, "Burger King; USA"
-86.70764, 33.43028, "Burger King; USA"
-122.37455, 47.66866, "Burger King; USA"
-122.30345, 47.58526, "Burger King; USA"
-122.30346, 47.58506, "Burger King; USA"
-122.34503, 47.72499, "Burger King; USA"
-122.31243, 47.73240, "Burger King; USA"
-122.32905, 47.57427, "Burger King; USA"
-116.34273, 43.66213, "Burger King; USA"
-116.28187, 43.60670, "Burger King; USA"
-116.28630, 43.59026, "Burger King; USA"
-116.19354, 43.59934, "Burger King; USA"
-116.21096, 43.62411, "Burger King; USA"
-116.24104, 43.58977, "Burger King; USA"
-116.16489, 43.54285, "Burger King; USA"
-116.28780, 43.61944, "Burger King; USA"
-116.27931, 43.66596, "Burger King; USA"
-116.38825, 43.61937, "Burger King; USA"
-121.21687, 37.80787, "Burger King; USA"
-121.28055, 38.11538, "Burger King; USA"
-121.22447, 37.90570, "Burger King; USA"
-121.29542, 37.93727, "Burger King; USA"
-121.27329, 37.96278, "Burger King; USA"
-121.32119, 37.98762, "Burger King; USA"
-120.93501, 37.64083, "Burger King; USA"
-120.95753, 37.66098, "Burger King; USA"
-121.02941, 37.68954, "Burger King; USA"
-120.96015, 37.68896, "Burger King; USA"
-120.93875, 37.59261, "Burger King; USA"
-121.03079, 37.64880, "Burger King; USA"
-121.24315, 37.98914, "Burger King; USA"
-121.28968, 38.00223, "Burger King; USA"
-98.44624, 29.45197, "Burger King; USA"
-98.49919, 29.44181, "Burger King; USA"
-98.41197, 29.46176, "Burger King; USA"
-98.55066, 29.43044, "Burger King; USA"
-98.60580, 29.56437, "Burger King; USA"
-98.61689, 29.38702, "Burger King; USA"
-98.58709, 29.48750, "Burger King; USA"
-98.53617, 29.47461, "Burger King; USA"
-98.49344, 29.35671, "Burger King; USA"
-74.00140, 40.71906, "Burger King; USA"
-73.98088, 40.75703, "Burger King; USA"
-73.98665, 40.71792, "Burger King; USA"
-73.99059, 40.75757, "Burger King; USA"
-74.00979, 40.71002, "Burger King; USA"
-74.01238, 40.70498, "Burger King; USA"
-74.01179, 40.70975, "Burger King; USA"
-74.00463, 40.70899, "Burger King; USA"
-73.98727, 40.76068, "Burger King; USA"
-73.98336, 40.75008, "Burger King; USA"
-118.27488, 34.05354, "Burger King; USA"
-118.26063, 34.07820, "Burger King; USA"
-118.27229, 34.06359, "Burger King; USA"
-118.25892, 34.04872, "Burger King; USA"
-118.24393, 34.06068, "Burger King; USA"
-118.25647, 34.03732, "Burger King; USA"
-118.26769, 34.03251, "Burger King; USA"
-96.68356, 32.80711, "Burger King; USA"
-96.67550, 32.83486, "Burger King; USA"
-96.68307, 32.86398, "Burger King; USA"
-96.74315, 32.86654, "Burger King; USA"
-96.76832, 32.90955, "Burger King; USA"
-96.85641, 32.78588, "Burger King; USA"
-96.77637, 32.79937, "Burger King; USA"
-96.77533, 32.83639, "Burger King; USA"
-96.87263, 32.82616, "Burger King; USA"
-96.82269, 32.74358, "Burger King; USA"
-75.09448, 39.99458, "Burger King; USA"
-75.24015, 39.90276, "Burger King; USA"
-75.17853, 40.03208, "Burger King; USA"
-75.14788, 40.02456, "Burger King; USA"
-75.18759, 39.91919, "Burger King; USA"
-75.08374, 40.03235, "Burger King; USA"
-75.12130, 40.03525, "Burger King; USA"
-75.15367, 39.95056, "Burger King; USA"
-74.79657, 40.21020, "Burger King; USA"
-75.15012, 39.91355, "Burger King; USA"
-75.15525, 39.95136, "Burger King; USA"
-74.83468, 40.17146, "Burger King; USA"
-74.87080, 40.17637, "Burger King; USA"
-81.77016, 41.47685, "Burger King; USA"
-81.76286, 41.46416, "Burger King; USA"
-81.70417, 41.44271, "Burger King; USA"
-81.64384, 41.46190, "Burger King; USA"
-81.73720, 41.48238, "Burger King; USA"
-81.73391, 41.46069, "Burger King; USA"
-81.66828, 41.49976, "Burger King; USA"
-81.69273, 41.41930, "Burger King; USA"
-81.62766, 41.50352, "Burger King; USA"
-81.70558, 41.46981, "Burger King; USA"
-91.05661, 30.43321, "Burger King; USA"
-91.15342, 30.49844, "Burger King; USA"
-91.16829, 30.47330, "Burger King; USA"
-91.12798, 30.49788, "Burger King; USA"
-91.17733, 30.41989, "Burger King; USA"
